aa,ac,ag,at,cc,gc,ct,gt,tt,gg,ref_id,split_id
17.52923145,32.61614367,26.37032544,35.03866798,13.78617138,22.38545732,27.77069694,23.32258261,14.58758974,11.69731408,SARS-CoV-2_1_LEFT,SARS-CoV-2_47_LEFT
16.90119881,32.80029873,22.83099278,29.64644229,14.82172582,21.15864806,26.67673425,19.97637085,13.5413833,10.97481123,SARS-CoV-2_1_LEFT,SARS-CoV-2_47_RIGHT
16.07392954,31.51092058,26.10080276,31.83219708,14.29378842,23.9536375,28.47944819,24.11896177,14.42416605,12.13338951,SARS-CoV-2_1_LEFT,SARS-CoV-2_48_LEFT
16.15392713,31.7071239,22.46333111,26.16640271,15.26523046,21.7271675,25.12898655,19.23094408,12.68165338,11.15854103,SARS-CoV-2_1_LEFT,SARS-CoV-2_48_RIGHT
15.53320546,30.20138652,22.64851142,28.11555674,14.78031583,21.95116455,26.97603004,20.93334782,13.7586188,11.31902312,SARS-CoV-2_1_LEFT,SARS-CoV-2_49_LEFT
15.52045088,28.74618927,26.4751865,30.67658822,13.63941605,23.90834739,27.12217409,25.130072,14.50856853,12.64348725,SARS-CoV-2_1_LEFT,SARS-CoV-2_49_RIGHT
16.96266194,29.95514899,25.78773241,31.38014299,13.45599482,21.95746383,25.59848521,22.62733383,14.00901939,11.8811184,SARS-CoV-2_1_LEFT,SARS-CoV-2_50_LEFT
17.75564102,32.84715298,29.10304979,27.46193133,14.07089151,24.43166174,23.3292775,21.58004007,12.18230168,12.75271807,SARS-CoV-2_1_LEFT,SARS-CoV-2_50_RIGHT
14.84317903,28.86338613,24.83914823,27.9084252,14.40707846,24.28581193,27.18380009,23.64494226,13.9174601,12.41358568,SARS-CoV-2_1_LEFT,SARS-CoV-2_51_LEFT
15.10480688,28.43040651,25.82122496,30.27244502,13.79345161,24.0371281,27.71853113,25.25273329,14.67556531,12.58724658,SARS-CoV-2_1_LEFT,SARS-CoV-2_51_RIGHT
15.65475831,34.33569935,24.98725887,29.53551104,15.83471267,25.18546335,29.8319884,22.77032322,13.77102806,11.88636278,SARS-CoV-2_1_LEFT,SARS-CoV-2_52_LEFT
16.20685279,29.2204521,27.3272864,27.03127315,13.65607679,23.91518381,23.69802233,22.5176198,12.72640602,12.85012747,SARS-CoV-2_1_LEFT,SARS-CoV-2_52_RIGHT
15.70416475,30.99646774,23.17300988,28.32510885,14.8982514,22.40741856,27.11636008,21.11428088,13.64396926,11.41481349,SARS-CoV-2_1_LEFT,SARS-CoV-2_53_LEFT
17.46711615,36.49652344,24.54004836,24.40343779,16.13312296,23.40878247,23.28618366,18.28233236,11.45795139,11.50574808,SARS-CoV-2_1_LEFT,SARS-CoV-2_53_RIGHT
